date,plan_kwh,charge_kwh,discharge_kwh,emergency_kwh,curtail_kwh,storage_start,storage_end,plan_cost_yuan,emergency_cost_yuan,daily_cost_yuan,storage_min,storage_max,pool_size,k_eff,mode,objective_yuan,theta_mean,theta_total_yuan,tangent_count,value_at_s_min,value_at_s_max,dec_storage_end_mean,dec_storage_end_min,dec_storage_end_max,dec_plan_kwh,solver_path
2025-07-03,78741.90929,5351.40012,4334.634097,2112.5109,77.23523254,1200,1200,60218.67968,4897.257101,65115.93678,1200,5107.09302,32,11.37361799,kernel,119320.188,58450.13468,58889.00381,46,60373.66996,57851.30958,4775.366049,1200,9092.025649,99.6058008,highs+presolve
2025-07-04,42821.62388,5312.548874,4303.164588,2871.550485,15802.92261,1200,1200,31663.17858,6461.609193,38124.78777,1200,5805.549983,33,4.312498787,kernel,70603.16066,35743.70935,34422.73515,65,36180.41588,34257.33956,9859.884089,1200,10598.87807,1103.894066,highs+presolve
2025-07-05,48914.68868,2278.6952,1845.743112,270.0509315,19961.70755,1200,1200,36119.53716,578.7764206,36698.31358,1200,2316.649193,34,1.345299086,kernel,73798.40907,37040.36584,36591.0629,65,37207.3362,36561.75689,10177.4195,1200,10799.64511,257.8185032,highs+presolve
2025-07-06,81216.93641,6637.182909,5376.118157,0,161.8901045,1200,1200,61977.20435,0,61977.20435,1200,6000.356283,35,7.442672084,kernel,122716.555,59932.5321,60739.34199,41,61971.06428,59478.79334,4122.15055,1200,7231.34541,0,highs+presolve
2025-07-07,81774.06242,2501.572359,2026.273611,0,7889.280909,1200,1200,63049.16899,0,63049.16899,1200,2900.407717,36,5.470446715,kernel,125479.8961,61647.30818,62374.12588,30,63045.81636,61340.71057,2757.400371,1247.407877,5317.469645,23.93355159,highs+presolve
2025-07-08,82259.95754,4194.064688,3397.192397,0,5891.698235,1200,1200,62935.60348,0,62935.60348,1200,3670.272906,37,5.45335971,kernel,124766.7821,61335.54177,61737.13645,34,62874.85517,60985.55993,4039.811276,1200,6306.008158,33.28554415,highs+presolve
2025-07-09,81948.6503,2205.356309,1786.33861,0,7470.907589,1200,1200,62969.71306,0,62969.71306,1200,2379.601578,38,7.246832438,kernel,125058.1763,61666.83509,61903.29863,31,63057.65609,61303.43017,4099.923397,1200,6141.269262,55.89466433,highs+presolve
2025-07-10,81333.11657,1823.356159,1476.918489,0,8133.055512,1200,1200,62810.93477,0,62810.93477,1200,2115.007019,39,5.894349822,kernel,125333.5372,62134.99538,62147.13281,36,63174.39321,61660.4859,4193.86728,1200,6704.60134,99.9480389,highs+presolve
2025-07-11,63387.30049,708.4815549,573.8700594,0,30733.91185,1200,1200,43732.93625,0,43732.93625,1200,1393.629546,40,3.222411343,kernel,94973.73766,48314.56077,45482.27993,26,49459.00192,44939.18375,9644.450555,1200,10800,1733.913851,highs+presolve
2025-07-12,52942.38216,905.0710147,733.1075219,0,21686.17533,1200,1200,38784.32298,0,38784.32298,1200,1334.694032,41,4.381842238,kernel,89349.49934,45381.17648,42888.02777,60,46418.42898,42512.08883,9860.141323,1200,10799.1698,1925.638093,highs+presolve
