date,slot,label,plan_kwh,charge_kwh,discharge_kwh,emergency_kwh,curtail_kwh,storage_start_kwh,storage_end_kwh,load_kwh,pv_kwh,net_kwh,pool_size
2025-02-02,36,5:50-6:00,899.5894908,0,0,0,44.05615749,1200,1200,855.5333333,0,855.5333333,25
2025-02-02,37,6:00-6:10,912.7485787,0,0,0,45.499062,1200,1200,867.2495167,0,867.2495167,25
2025-02-02,38,6:10-6:20,895.8041981,0,0,0,41.1353814,1200,1200,855.2815167,0.6127,854.6688167,25
2025-02-02,39,6:20-6:30,904.5534382,0,0,0,31.05177149,1200,1200,873.5016667,0,873.5016667,25
2025-02-02,40,6:30-6:40,900.2730597,0,0,0,24.26069302,1200,1200,876.0123667,0,876.0123667,25
2025-02-02,41,6:40-6:50,887.9019427,0,0,0,53.1486094,1200,1200,853.8498833,19.09655,834.7533333,25
2025-02-02,42,6:50-7:00,857.4635116,0,0,0,89.54226156,1200,1200,832.265,64.34375,767.92125,25
2025-02-02,43,7:00-7:10,814.3374737,0,0,0,78.84049033,1200,1200,845.0358,109.5388167,735.4969833,25
2025-02-02,44,7:10-7:20,776.5810736,0,0,0,67.90694023,1200,1200,865.4190667,156.7449333,708.6741333,25
2025-02-02,45,7:20-7:30,722.7262702,0,0,0,66.14960349,1200,1200,862.9766667,206.4,656.5766667,25
2025-02-02,46,7:30-7:40,641.3293418,0,0,0,42.28279183,1200,1200,851.2133,252.16675,599.04655,25
2025-02-02,47,7:40-7:50,721.439382,0,0,0,52.7918153,1200,1200,963.0563333,294.4087667,668.6475667,25
2025-02-02,48,7:50-8:00,885.3414345,0,0,0,74.19226787,1200,1200,1143.636667,332.4875,811.1491667,25
2025-02-02,49,8:00-8:10,848.3181672,0,0,0,25.48681716,1200,1200,1189.957767,367.1264167,822.83135,25
2025-02-02,50,8:10-8:20,760.167943,0,0,0,1.2920763,1200,1200,1173.5552,414.6793333,758.8758667,25
2025-02-02,51,8:20-8:30,724.9162985,0,0,0,32.35004854,1200,1200,1167.535,474.96875,692.56625,25
2025-02-02,52,8:30-8:40,694.2080568,0,0,0,54.08055681,1200,1200,1171.492467,531.3649667,640.1275,25
2025-02-02,53,8:40-8:50,642.9868496,0,0,0,56.90254956,1200,1200,1169.539583,583.4552833,586.0843,25
2025-02-02,54,8:50-9:00,582.5182674,0,0,0,61.3153507,1200,1200,1159.696667,638.49375,521.2029167,25
2025-02-02,55,9:00-9:10,538.8438332,0,0,0,84.00499982,1200,1200,1155.84485,701.0060167,454.8388333,25
2025-02-02,56,9:10-9:20,484.3243001,0,0,0,70.54073347,1200,1200,1166.113167,752.3296,413.7835667,25
2025-02-02,57,9:20-9:30,426.6881935,0,0,0,52.40569348,1200,1200,1171.27,796.9875,374.2825,25
2025-02-02,58,9:30-9:40,402.6451512,0,0,0,113.6724345,1200,1200,1143.429783,854.4570667,288.9727167,25
2025-02-02,59,9:40-9:50,368.559229,0,0,0,137.153829,1200,1200,1121.518583,890.1131833,231.4054,25
2025-02-02,60,9:50-10:00,312.0767201,0,0,0,89.71380342,1200,1200,1126.981667,904.61875,222.3629167,25
2025-02-02,61,10:00-10:10,265.2884909,0,0,0,54.5289576,1200,1200,1143.243583,932.48405,210.7595333,25
2025-02-02,62,10:10-10:20,230.5637079,0,0,0,38.53042454,1200,1200,1140.95675,948.9234667,192.0332833,25
2025-02-02,63,10:20-10:30,207.9165247,0,0,0,42.84152473,1200,1200,1120.825,955.75,165.075,25
2025-02-02,64,10:30-10:40,195.9782152,0,0,0,69.36956522,1200,1200,1112.39495,985.7863,126.60865,25
2025-02-02,65,10:40-10:50,167.2030103,0,0,0,67.40276031,1200,1200,1127.657267,1027.857017,99.80025,25
2025-02-02,66,10:50-11:00,131.4987996,0,0,0,46.03504964,1200,1200,1140.545,1055.08125,85.46375,25
2025-02-02,67,11:00-11:10,130.4854,0,0,0,69.96448333,1200,1200,1114.694117,1054.1732,60.52091667,25
2025-02-02,68,11:10-11:20,129.2956617,0,0,0,105.250945,1200,1200,1103.529783,1079.485067,24.04471667,25
2025-02-02,69,11:20-11:30,121.8085034,0,0,0,107.4043368,1200,1200,1132.041667,1117.6375,14.40416667,25
2025-02-02,70,11:30-11:40,108.2000826,0,0,0,53.15439924,1200,1200,1160.929567,1105.883883,55.04568333,25
2025-02-02,71,11:40-11:50,117.9174333,0,0,0,130.5347667,1200,1200,1105.140117,1117.75745,-12.61733333,25
2025-02-02,72,11:50-12:00,107.9633333,0,0,0,241.36625,1200,1200,1014.603333,1148.00625,-133.4029167,25
2025-02-02,73,12:00-12:10,137.8383333,0,0,0,224.4750667,1200,1200,1029.258467,1115.8952,-86.63673333,25
2025-02-02,74,12:10-12:20,170.1539333,0,0,0,192.0482667,1200,1200,1068.5136,1090.407933,-21.89433333,25
2025-02-02,75,12:20-12:30,184.21875,0,0,0,223.7575,1200,1200,1060.23,1099.76875,-39.53875,25
2025-02-02,76,12:30-12:40,890.2966079,0,0,0,974.2250246,1200,1200,1017.619333,1101.54775,-83.92841667,25
2025-02-02,77,12:40-12:50,91.01810383,0,0,0,150.1921705,1200,1200,1029.466717,1088.640783,-59.17406667,25
2025-02-02,78,12:50-13:00,120.2620409,0,0,0,100.7995409,1200,1200,1087.325,1067.8625,19.4625,25
2025-02-02,79,13:00-13:10,128.0137329,0,0,0,82.54389954,1200,1200,1097.386883,1051.91705,45.46983333,25
2025-02-02,80,13:10-13:20,133.7939355,0,0,0,107.0227522,1200,1200,1085.0511,1058.279917,26.77118333,25
2025-02-02,81,13:20-13:30,155.2708229,0,0,0,132.6949896,1200,1200,1084.263333,1061.6875,22.57583333,25
