stage,feature,date,es_before,es_after,relative_improvement_pct
forward,net_lag_7d,2025-04-14,688.7652121,606.8055527,11.89950625
forward,net_lag_7d,2025-04-15,813.1976363,810.0718844,0.3843778841
forward,net_lag_7d,2025-04-16,635.9440451,475.3700544,25.24970427
forward,net_lag_7d,2025-04-17,629.4432035,523.9194099,16.76462514
forward,net_lag_7d,2025-04-18,2813.362984,664.4645761,76.38183982
forward,net_lag_7d,2025-04-19,2664.670783,658.7905419,75.27685048
forward,net_lag_7d,2025-04-20,681.8196243,566.2245272,16.95391171
forward,net_lag_7d,2025-04-21,827.4011172,840.9073615,-1.632369599
forward,net_lag_7d,2025-04-22,674.4106199,556.5033909,17.483003
forward,net_lag_7d,2025-04-23,699.4336598,627.6830377,10.25838849
forward,net_lag_7d,2025-04-24,827.3064266,869.6572112,-5.119117077
forward,net_lag_7d,2025-04-25,3092.996459,961.4929244,68.91386921
forward,net_lag_7d,2025-04-26,3273.225472,1259.684863,61.51548761
forward,net_lag_7d,2025-04-27,766.5004532,709.9063929,7.383434688
forward,net_lag_7d,2025-04-28,852.3111741,649.9481096,23.74286184
forward,net_lag_7d,2025-04-29,783.4879901,769.7208373,1.75716194
forward,net_lag_7d,2025-04-30,813.0186088,787.6941666,3.114866235
forward,net_lag_7d,2025-05-01,756.4356225,605.9491768,19.89415109
forward,net_lag_7d,2025-05-02,1861.117707,702.1511574,62.27260883
forward,net_lag_7d,2025-05-03,2136.486123,555.4013961,74.0039783
forward,net_lag_7d,2025-05-04,862.9754638,645.236779,25.23115592
forward,net_lag_7d,2025-05-05,818.8859656,489.1814328,40.26256972
forward,net_lag_7d,2025-05-06,768.752955,543.1046838,29.35250781
forward,net_lag_7d,2025-05-07,703.6511487,414.0531714,41.15647048
forward,net_lag_7d,2025-05-08,835.9305663,564.1663558,32.51038083
forward,net_lag_7d,2025-05-09,2170.36084,786.936353,63.74168118
forward,net_lag_7d,2025-05-10,1899.704832,640.9198451,66.26213535
forward,net_lag_7d,2025-05-11,850.599781,523.2402671,38.48572751
forward,net_lag_7d,2025-05-12,888.9299109,693.2913163,22.00832621
forward,net_lag_7d,2025-05-13,684.3191758,408.3174257,40.33231274
